title,director,genre,cast,rating,year,description
Gangs of Wasseypur,Anurag Kashyap,Crime/Drama,"Manoj Bajpayee, Nawazuddin Siddiqui",8.2,2012,Gangster saga spanning generations
Dangal,Nitesh Tiwari,Biography/Sport,"Aamir Khan, Sakshi Tanwar",8.4,2016,Wrestling drama based on true story
3 Idiots,Rajkumar Hirani,Comedy/Drama,"Aamir Khan, Madhavan",8.4,2009,Engineering college friendship story
PK,Rajkumar Hirani,Comedy/Drama/Sci-Fi,"Aamir Khan, Anushka Sharma",8.1,2014,Alien on Earth satire
Bajrangi Bhaijaan,Kabir Khan,Adventure/Drama,"Salman Khan, Kareena Kapoor",8.0,2015,Man helps lost girl return home
Andhadhun,Sriram Raghavan,Thriller/Crime,"Ayushmann Khurrana, Tabu",8.2,2018,Blind pianist thriller
Drishyam,Nishikant Kamat,Thriller/Crime,"Ajay Devgn, Tabu",8.2,2015,Family covers up crime
Queen,Vikas Bahl,Comedy/Drama,"Kangana Ranaut, Rajkummar Rao",8.2,2014,Woman's solo honeymoon journey
Zindagi Na Milegi Dobara,Zoya Akhtar,Comedy/Drama,"Hrithik Roshan, Farhan Akhtar",8.1,2011,Friends road trip in Spain
Taare Zameen Par,Aamir Khan,Family/Drama,"Darsheel Safary, Aamir Khan",8.4,2007,Child with dyslexia
Barfi!,Anurag Basu,Comedy/Drama,"Ranbir Kapoor, Priyanka Chopra",8.1,2012,Love story of deaf-mute man
The Lunchbox,Ritesh Batra,Comedy/Drama,"Irrfan Khan, Nimrat Kaur",7.8,2013,Mistaken lunchbox connects strangers
Udaan,Vikramaditya Motwane,Family/Drama,"Rajat Barmecha, Ronit Roy",8.2,2010,Teenager's struggle with abusive father
Masaan,Neeraj Ghaywan,Social/Drama,"Richa Chadha, Vicky Kaushal",8.0,2015,Life and death in Varanasi
Haider,Vishal Bhardwaj,Crime/Drama,"Shahid Kapoor, Tabu",8.1,2014,Hamlet adaptation in Kashmir
Kahaani,Sujoy Ghosh,Thriller/Mystery,"Vidya Balan, Parambrata",8.1,2012,Pregnant woman searches for husband
Special 26,Neeraj Pandey,Crime/Thriller,"Akshay Kumar, Kajal Aggarwal",8.0,2013,Heist film in 1980s
Madras Cafe,Shoojit Sircar,Political/Thriller,"John Abraham, Nargis Fakhri",7.9,2013,War journalist in Sri Lanka
Pink,Aniruddha Roy Chowdhury,Social/Legal,"Amitabh Bachchan, Taapsee Pannu",8.1,2016,Women's consent in legal system
